month_key,cluster,cluster_label,count,total_reports_month,normalized_rate,pct_change,rolling_mean_rate,max_rate_z
2025-04,26,Cluster 26,5,528,0.00946969696969697,20.738636363636374,0.007225032004038808,-0.31654398464687206
2025-05,26,Cluster 26,7,475,0.014736842105263158,55.62105263157895,0.008727337941828617,0.5756526144001626
2025-06,26,Cluster 26,7,513,0.01364522417153996,-7.4074074074074066,0.010683225443287363,0.39074451278927064
2025-07,26,Cluster 26,5,475,0.010526315789473684,-22.857142857142854,0.01261725441550003,-0.13756434895613467
2025-08,26,Cluster 26,8,526,0.015209125475285171,44.486692015209115,0.012969460688758934,0.6556522357652226
2025-09,26,Cluster 26,5,501,0.00998003992015968,-34.3812375249501,0.013126888478766271,-0.23009748791453646
2025-10,26,Cluster 26,3,268,0.011194029850746268,12.1641791044776,0.011905160394972844,-0.024460912602990586
2015-03,27,Cluster 27,1,1,1.0,0.0,1.0,4.692617829606098
2024-01,27,Cluster 27,58,397,0.14609571788413098,-85.3904282115869,1.0,-0.13627786337086115
2024-02,27,Cluster 27,48,357,0.13445378151260504,-7.9687047232686155,0.5730478589420654,-0.20211392670933384
2024-03,27,Cluster 27,64,479,0.1336116910229645,-0.6263048016701522,0.4268498331322454,-0.20687601447922546
2024-04,27,Cluster 27,65,476,0.13655462184873948,2.202599789915971,0.13805373013990016,-0.19023350982507312
2024-05,27,Cluster 27,55,487,0.11293634496919917,-17.295845837940295,0.13487336479476966,-0.32379671812348715
2024-06,27,Cluster 27,61,473,0.12896405919661733,14.191812415913896,0.1277008859469677,-0.23315873700308926
2024-07,27,Cluster 27,57,447,0.12751677852348994,-1.1222356694905788,0.12615167533818533,-0.2413432227298458
2024-08,27,Cluster 27,56,458,0.1222707423580786,-4.113996782348894,0.12313906089643549,-0.2710099687281036
2024-09,27,Cluster 27,38,366,0.10382513661202186,-15.085870413739254,0.12625052669272863,-0.37532131603833757
2024-10,27,Cluster 27,46,415,0.1108433734939759,6.759670259987316,0.11787088583119681,-0.33563263598208604
2024-11,27,Cluster 27,49,368,0.1331521739130435,20.126417769376204,0.11231308415469214,-0.2094746197789301
2024-12,27,Cluster 27,57,391,0.14578005115089515,9.483793517406959,0.11594022800634708,-0.13806298350723228
2025-01,27,Cluster 27,61,403,0.1513647642679901,3.8309172434809025,0.12992519951930484,-0.10648099278243078
2025-02,27,Cluster 27,58,451,0.1286031042128603,-15.037621315110329,0.14343232977730958,-0.23519996574842808
2025-03,27,Cluster 27,59,510,0.11568627450980393,-10.043948613928322,0.14191597321058189,-0.3082456508753965
2025-04,27,Cluster 27,70,528,0.13257575757575757,14.599383667180277,0.13188471433021812,-0.21273429937859725
2025-05,27,Cluster 27,56,475,0.11789473684210526,-11.073684210526313,0.12562171209947395,-0.29575662316127543
2025-06,27,Cluster 27,62,513,0.12085769980506822,2.5132275132275117,0.12205225630922227,-0.27900083520006624
2025-07,27,Cluster 27,52,475,0.10947368421052632,-9.41935483870967,0.12377606474097702,-0.3433783363141859
2025-08,27,Cluster 27,65,526,0.12357414448669202,12.88022813688212,0.11607537361923327,-0.26363912745596174
2025-09,27,Cluster 27,61,501,0.1217564870259481,-1.4709043451558435,0.1179685095007622,-0.27391812296789986
2025-10,27,Cluster 27,34,268,0.12686567164179105,4.1962319549792015,0.11826810524105548,-0.24502528321666367
2025-11,27,Cluster 27,6,20,0.3,136.4705882352941,0.1240654343848104,0.7340629237704137
2024-01,28,Cluster 28,3,397,0.007556675062972292,0.0,0.007556675062972292,-0.6329541099432571
2024-02,28,Cluster 28,4,357,0.011204481792717087,48.272642390289455,0.007556675062972292,0.020866802126317953
2024-03,28,Cluster 28,4,479,0.008350730688935281,-25.469728601252616,0.009380578427844689,-0.4906301843449783
2024-04,28,Cluster 28,11,476,0.023109243697478993,176.733193277311,0.00903729584820822,2.1546372738659514
2024-05,28,Cluster 28,6,487,0.012320328542094456,-46.6865783087549,0.014221485393043786,0.22086751309019714
2024-06,28,Cluster 28,2,473,0.004228329809725159,-65.6800563777308,0.014593434309502912,-1.2295157949184714
